"","name","networth","age","country"
"1","
                            
                                
                                                                                

    

                                       
                                
                                David Beckham
                            
                        ","$670 Million","
                                                            45
                                                    ","
                                                            United kingdom
                                                    "
"2","
                            
                                
                                                                                

    

                                       
                                
                                Cristiano Ronaldo
                            
                        ","$500 Million","
                                                            36
                                                    ","
                                                            N/A
                                                    "
"3","
                            
                                
                                                                                

    

                                       
                                
                                Lionel Messi
                            
                        ","$400 Million","
                                                            33
                                                    ","
                                                            N/A
                                                    "
"4","
                            
                                
                                                                                

    

                                       
                                
                                Dave Whelan
                            
                        ","$210 Million","
                                                            84
                                                    ","
                                                            United kingdom
                                                    "
"5","
                            
                                
                                                                                

    

                                       
                                
                                Neymar da Silva Santos Junior
                            
                        ","$185 Million","
                                                            29
                                                    ","
                                                            Brazil
                                                    "
"6","
                            
                                
                                                                                

    

                                       
                                
                                Wayne Rooney
                            
                        ","$160 Million","
                                                            35
                                                    ","
                                                            United kingdom
                                                    "
"7","
                            
                                
                                                                                

    

                                       
                                
                                Alexandre Pato
                            
                        ","$145 Million","
                                                            30
                                                    ","
                                                            Brazil
                                                    "
"8","
                            
                                
                                                                                

    

                                       
                                
                                Francesco Totti
                            
                        ","$101.6 Million","
                                                            43
                                                    ","
                                                            Italy
                                                    "
"9","
                            
                                
                                                                                

    

                                       
                                
                                Jose Mourinho
                            
                        ","$100 Million","
                                                            58
                                                    ","
                                                            N/A
                                                    "
"10","
                            
                                
                                                                                

    

                                       
                                
                                Pele
                            
                        ","$100 Million","
                                                            80
                                                    ","
                                                            Brazil
                                                    "
"11","
                            
                                
                                                                                

    

                                       
                                
                                Philipp Lahm
                            
                        ","$100 Million","
                                                            36
                                                    ","
                                                            Germany
                                                    "
"12","
                            
                                
                                                                                

    

                                       
                                
                                Eden Hazard
                            
                        ","$100 Million","
                                                            29
                                                    ","
                                                            Belgium
                                                    "
"13","
                            
                                
                                                                                

    

                                       
                                
                                Kaka
                            
                        ","$100 Million","
                                                            38
                                                    ","
                                                            Brazil
                                                    "
"14","
                            
                                
                                                                                

    

                                       
                                
                                Samuel Eto
                            
                        ","$95 Million","
                                                            40
                                                    ","
                                                            N/A
                                                    "
"15","
                            
                                
                                                                                

    

                                       
                                
                                Gareth Bale
                            
                        ","$90 Million","
                                                            30
                                                    ","
                                                            United kingdom
                                                    "
"16","
                            
                                
                                                                                

    

                                       
                                
                                Didier Drogba
                            
                        ","$90 Million","
                                                            43
                                                    ","
                                                            N/A
                                                    "
"17","
                            
                                
                                                                                

    

                                       
                                
                                Zlatan Ibrahimovic
                            
                        ","$90 Million","
                                                            39
                                                    ","
                                                            N/A
                                                    "
"18","
                            
                                
                                                                                

    

                                       
                                
                                Ronaldinho
                            
                        ","$90 Million","
                                                            41
                                                    ","
                                                            Brazil
                                                    "
"19","
                            
                                
                                                                                

    

                                       
                                
                                Andres Iniesta
                            
                        ","$86 Million","
                                                            36
                                                    ","
                                                            Spain
                                                    "
"20","
                            
                                
                                                                                

    

                                       
                                
                                Sergio Ramos
                            
                        ","$80 Million","
                                                            35
                                                    ","
                                                            Spain
                                                    "
"21","
                            
                                
                                                                            
                                Arjen Robben
                            
                        ","$80 Million","
                                                            36
                                                    ","
                                                            N/A
                                                    "
"22","
                            
                                
                                                                                

    

                                       
                                
                                Willian
                            
                        ","$75 Million","
                                                            31
                                                    ","
                                                            Brazil
                                                    "
"23","
                            
                                
                                                                                

    

                                       
                                
                                Rio Ferdinand
                            
                        ","$75 Million","
                                                            42
                                                    ","
                                                            United kingdom
                                                    "
"24","
                            
                                
                                                                                

    

                                       
                                
                                Rivaldo Vitor
                            
                        ","$74 Million","
                                                            47
                                                    ","
                                                            Brazil
                                                    "
"25","
                            
                                
                                                                                

    

                                       
                                
                                Sergio Aguero
                            
                        ","$70 Million","
                                                            32
                                                    ","
                                                            N/A
                                                    "
